[info]: OpenGL backend
[info]: Vendor: AMD
[debug]: profiler block update game: (5440610 cycles, 1 calls)
[debug]: profiler block update_sound: (108333 cycles, 1 calls)
[debug]: profiler block move_entity: (6564051 cycles, 1 calls)
[debug]: profiler block update game: (6577670 cycles, 1 calls)
[debug]: profiler block update_sound: (105797 cycles, 1 calls)
[debug]: profiler block move_entity: (6868597 cycles, 1 calls)
[debug]: profiler block update game: (6887326 cycles, 1 calls)
[debug]: profiler block update_sound: (106219 cycles, 1 calls)
[debug]: profiler block move_entity: (6473759 cycles, 1 calls)
[debug]: profiler block update game: (6485341 cycles, 1 calls)
[debug]: profiler block update_sound: (104565 cycles, 1 calls)
[debug]: profiler block move_entity: (6541975 cycles, 1 calls)
[debug]: profiler block update game: (6565828 cycles, 1 calls)
[debug]: profiler block update_sound: (107517 cycles, 1 calls)
[debug]: profiler block move_entity: (6521886 cycles, 1 calls)
[debug]: profiler block update game: (6534743 cycles, 1 calls)
[debug]: profiler block update_sound: (105563 cycles, 1 calls)
[debug]: profiler block move_entity: (7986420 cycles, 1 calls)
[debug]: profiler block update game: (8014137 cycles, 1 calls)
[debug]: profiler block update_sound: (102278 cycles, 1 calls)
[debug]: profiler block move_entity: (9125413 cycles, 1 calls)
[debug]: profiler block update game: (9138639 cycles, 1 calls)
[debug]: profiler block update_sound: (115486 cycles, 1 calls)
[debug]: profiler block move_entity: (9136813 cycles, 1 calls)
[debug]: profiler block update game: (9153713 cycles, 1 calls)
[debug]: profiler block update_sound: (113667 cycles, 1 calls)
[debug]: profiler block move_entity: (9159124 cycles, 1 calls)
[debug]: profiler block update game: (9175457 cycles, 1 calls)
[debug]: profiler block update_sound: (104469 cycles, 1 calls)
[debug]: profiler block move_entity: (9035284 cycles, 1 calls)
[debug]: profiler block update game: (9048429 cycles, 1 calls)
[debug]: profiler block update_sound: (111035 cycles, 1 calls)
[debug]: profiler block move_entity: (9108858 cycles, 1 calls)
[debug]: profiler block update game: (9125490 cycles, 1 calls)
[debug]: profiler block update_sound: (103746 cycles, 1 calls)
[debug]: profiler block move_entity: (9091176 cycles, 1 calls)
[debug]: profiler block update game: (9105150 cycles, 1 calls)
[debug]: profiler block update_sound: (102337 cycles, 1 calls)
[debug]: profiler block move_entity: (9302146 cycles, 1 calls)
[debug]: profiler block update game: (9316723 cycles, 1 calls)
[debug]: profiler block update_sound: (109599 cycles, 1 calls)
[debug]: profiler block move_entity: (9122169 cycles, 1 calls)
